,artist,album,albumcount,year
1068,2Pac,All Eyez On Me,119,1996
1121,2Pac,Greatest Hits,253,1998
2545,98 Degrees,98 Degrees And Rising,78,1998
4967,Ace Of Base,The Sign,102,1993
5682,Aerosmith,Get A Grip,92,1993
7704,Alan Jackson,A Lot About Livin' (And A Little 'Bout Love),122,1992
7827,Alan Jackson,Here In The Real World,110,1990
8104,Alanis Morissette,Jagged Little Pill,127,1995
20429,Babyface,For The Cool In You,83,1993
20554,Backstreet Boys,Backstreet Boys,133,1996
20580,Backstreet Boys,Millennium,93,1999
24770,Beck,Odelay,88,1996
30777,Billy Ray Cyrus,Some Gave All,97,1992
32530,BlackHawk,Blackhawk,83,1994
34619,Blues Traveler,four,97,1994
36516,Bob Seger & The Silver Bullet Band,Greatest Hits,259,1994
37989,Bone Thugs-N-Harmony,Creepin On Ah Come Up (EP),96,1994
37997,Bone Thugs-N-Harmony,E. 1999 Eternal,104,1995
38312,Bonnie Raitt,Luck Of The Draw,120,1991
40662,Brandy,Brandy,89,1994
42310,Britney Spears,...Baby One More Time,103,1999
42985,Brooks & Dunn,Brand New Man,153,1991
43010,Brooks & Dunn,Hard Workin' Man,99,1993
43085,Brooks & Dunn,The Greatest Hits Collection,90,1997
46354,C+C Music Factory,Gonna Make You Sweat,85,1990
47908,Candlebox,Candlebox,104,1993
51215,Celine Dion,All The Way...A Decade Of Song,89,1999
51231,Celine Dion,Falling Into You,113,1996
51247,Celine Dion,Let's Talk About Love,84,1997
56737,Christina Aguilera,Christina Aguilera,97,1999
58606,Clint Black,Put Yourself In My Shoes,80,1990
59781,Collective Soul,Collective Soul,80,1995
59895,Collin Raye,I Think About You,95,1995
60745,Confederate Railroad,Confederate Railroad,80,1992
62602,Creed,Human Clay,104,1999
62614,Creed,My Own Prison,112,1997
65107,DMX,It's Dark And Hell Is Hot,101,1998
65820,Damn Yankees,Damn Yankees,78,1990
68637,Dave Matthews Band,Before These Crowded Streets,89,1998
68686,Dave Matthews Band,Crash,105,1996
70714,David Gray,White Ladder,83,1998
72128,Deana Carter,Did I Shave My Legs For This?,86,1996
75051,Destiny's Child,The Writing's On The Wall,99,1999
75672,Diamond Rio,Diamond Rio,85,1991
78035,Dixie Chicks,Fly,131,1999
78127,Dixie Chicks,Wide Open Spaces,134,1998
80765,Dr. Dre,Dr. Dre -- 2001,164,1999
82469,Duran Duran,Duran Duran,134,1993
82979,Dwight Yoakam,This Time,81,1993
89329,Eminem,The Slim Shady LP,104,1999
89885,En Vogue,Funky Divas,86,1992
90083,Enigma,MCMXC A.D.,282,1990
90392,Enya,Shepherd Moons,238,1991
91412,Eric Clapton,The Best Of Eric Clapton: 20th Century Masters The Millennium Collection,107,1999
91466,Eric Clapton,Unplugged,139,1992
92742,Everclear,So Much For The Afterglow,88,1997
94172,Faith Hill,Breathe,103,1999
94214,Faith Hill,It Matters To Me,80,1995
95843,Fiona Apple,Tidal,91,1996
106162,George Strait,Pure Country (Soundtrack),129,1992
107490,Gin Blossoms,New Miserable Experience,102,1992
109321,Godsmack,Godsmack,92,1998
109765,Goo Goo Dolls,Dizzy Up The Girl,105,1998
112358,Green Day,Dookie,116,1994
113950,Guns N' Roses,Use Your Illusion I,108,1991
113966,Guns N' Roses,Use Your Illusion II,106,1991
116124,"Harry Connick, Jr.",We Are In Love,96,1990
123334,Incubus,Make Yourself,98,1999
130035,Janet Jackson,janet.,106,1993
135243,Jewel,Pieces Of You,114,1995
137407,Jo Dee Messina,I'm Alright,104,1998
138176,Jodeci,Forever My Lady,83,1991
142225,John Michael Montgomery,Kickin' It Up,82,1994
148828,Juvenile,400 Degreez,100,1998
149088,K-Ci & JoJo,Love Always,90,1997
153321,Kenny Chesney,Everywhere We Go,82,1999
154047,Kenny Rogers,Kenny Rogers' Greatest Hits,161,1992
155054,Kid Rock,Devil Without A Cause,111,1998
157989,Korn,Follow The Leader,89,1998
161892,Lauryn Hill,The Miseducation Of Lauryn Hill,91,1998
166305,Limp Bizkit,Significant Other,103,1999
168422,Live,Throwing Copper,121,1994
169415,Lonestar,Lonely Grill,96,1999
169995,Lorrie Morgan,Something In Red,95,1991
174381,Lynyrd Skynyrd,The Best Of Lynyrd Skynyrd: 20th Century Masters The Millennium Collection,135,1999
175836,Macy Gray,On How Life Is,89,1999
176330,Madonna,Ray Of Light,78,1998
176412,Madonna,The Immaculate Collection,148,1990
178808,Mariah Carey,Daydream,81,1995
178872,Mariah Carey,Merry Christmas,81,1994
178895,Mariah Carey,Music Box,128,1993
181357,Mary Chapin Carpenter,Come On Come On,134,1992
182183,Master P,Ghetto D,80,1997
183271,Maxwell,Maxwell's Urban Hang Suite,78,1996
184850,Melissa Etheridge,Yes I Am,138,1993
186053,Metallica,Load,98,1996
186118,Metallica,Metallica,516,1991
186702,Michael Bolton,"Time, Love And Tenderness",149,1991
197004,Natalie Merchant,Tigerlily,92,1995
201695,Nine Inch Nails,The Downward Spiral,115,1994
201917,Nirvana,In Utero,94,1993
201969,Nirvana,MTV Unplugged In New York,91,1994
201983,Nirvana,Nevermind,406,1991
202409,No Doubt,Tragic Kingdom,91,1995
203743,Oasis,(What's The Story) Morning Glory?,78,1995
207468,Original Cast Recording,Godspell,79,1995
208906,Ozzy Osbourne,No More Tears,86,1991
209958,Pantera,Vulgar Display Of Power,80,1992
214652,Pearl Jam,Ten,261,1991
217595,Phil Collins,...Hits,124,1990
225695,R.E.M.,Out Of Time,109,1991
226735,Rage Against The Machine,Rage Against The Machine,94,1992
229768,Reba McEntire,For My Broken Heart,80,1991
229794,Reba McEntire,Greatest Hits Volume Two,94,1993
229826,Reba McEntire,Read My Mind,83,1994
229929,Reba McEntire,Rumor Has It,89,1990
230378,Red Hot Chili Peppers,Blood Sugar Sex Magik,97,1991
230415,Red Hot Chili Peppers,Californication,101,1999
236913,Rod Stewart,Vagabond Heart,81,1991
240967,SHeDAISY,The Whole Shebang,102,1999
241411,Sade,Love Deluxe,103,1992
241475,Sade,The Best Of Sade,99,1994
241818,Salt-N-Pepa,Very Necessary,89,1993
243812,Sarah McLachlan,Fumbling Towards Ecstasy,100,1993
243915,Sarah McLachlan,Surfacing,108,1997
244062,Savage Garden,Savage Garden,104,1997
247900,Shania Twain,Come On Over,151,1997
247952,Shania Twain,The Woman In Me,107,1995
249194,Sheryl Crow,Tuesday Night Music Club,100,1993
255992,Soundgarden,Superunknown,80,1994
259052,Soundtrack,Grease,79,1994
262387,Soundtrack,Sleepless In Seattle,79,1993
264653,Soundtrack,Top Gun,94,1999
265858,Spice Girls,Spice,105,1996
265900,Spin Doctors,Pocket Full Of Kryptonite,115,1991
270735,Stone Temple Pilots,Core,117,1992
271781,Sublime,Sublime,151,1996
274764,TLC,CrazySexyCool,119,1994
283063,The Black Crowes,Shake Your Money Maker,165,1990
286615,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",130,1993
286627,The Cranberries,No Need To Argue,90,1994
292714,The Jerky Boys,The Jerky Boys,95,1993
297992,The Notorious B.I.G.,Life After Death,87,1997
298460,The Offspring,Smash,101,1994
302767,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,93,1995
302878,The Smashing Pumpkins,Siamese Dream,91,1993
309763,Third Eye Blind,Third Eye Blind,106,1997
311252,Tim McGraw,A Place In The Sun,86,1999
311301,Tim McGraw,Everywhere,104,1997
311387,Tim McGraw,Not A Moment Too Soon,115,1994
312388,Toby Keith,How Do You Like Me Now?!,92,1999
314484,Toni Braxton,Secrets,92,1996
314516,Toni Braxton,Toni Braxton,96,1993
316678,Tracy Byrd,No Ordinary Man,78,1994
316736,Tracy Chapman,New Beginning,95,1995
317773,Travis Tritt,Country Club,99,1990
317809,Travis Tritt,It's All About To Change,94,1991
321032,U2,Achtung Baby,101,1991
324109,Vanessa Williams,The Comfort Zone,91,1991
337611,Vince Gill,I Still Believe In You,100,1992
337660,Vince Gill,Pocket Full Of Gold,98,1991
337709,Vince Gill,When Love Finds You,112,1994
341032,White Zombie,"Astro Creep: 2000 Songs Of Love, Destruction",88,1995
341295,Whitney Houston,My Love Is Your Love,87,1998
341319,Whitney Houston,The Bodyguard,155,1992
341915,Will Smith,Big Willie Style,99,1997
343084,Wilson Phillips,Wilson Phillips,125,1990
345509,Yanni,Reflections Of Passion,93,1990
348974,dc Talk,Jesus Freak,79,1995
349713,matchbox 20,Yourself Or Someone Like You,121,1996
